35 30 46 48 43 50 19 75 33 40 50 62 45 45 40 33 47 10 38 28 17
17 21 49 29 26 29 70 29 41 20 16 27 40 51 10 17 38 5 10 28 38
50 9 52 30 28 17 18 34 24 14 39 35 22 27 43 53 45 65 19 37 55
36 31 43 61 13 32 37 64 22 25 27 75 39 18 24 9 20 37 39 53 37
61 25 46 20 19 18 56 46 67 15 57 63 29 58 42 39 25 14 47 51 42
56 62 18 27 19 7 15 17 9 8 55 33 39 55 18 24 23 41 44 11 47
14 20 30 52 41 31 23 16 20 38 16 38 38 52 14 47 20 49 35 35 20
22 20 67 18 30 14 56 90 54 38 19 42 38 23 24 14 22 35 26 67 24
30 37 17 50 21 45 28 29 10 50 22 35 60 7 44 53 40 36 23 56 29
23 59 18 25 20 26 48 40 46 46 35 36 14 55 47 27 20 48 25 46 14
43 47 46 27 15 21 61 23 46 15 31 44 24 58 34 40 26 30 36 41 25
47 23 37 52 27 43 15 21 35 55 13 18 28 31 39 27 52 29 20 54 66
44 11 67 39 17 39 44 44 7 42 46 20 40 26 13 47 35 34 44 27 39
21 19 14 41 10 38 19 11 12 25 34 55 66 49 16 41 7 34 65 35 89
46 25 11 18 51 34 38 17 28 20 40 40 28 44 47 20 51 33 9 67 28
65 55 11 49 30 27 22 26 43 59 58 46 19 22 14 10 26 37 34 57 11
24 24 21 52 22 20 59 9 39 34 52 57 11 24 16 47 18 40 40 52 54
14 67 45 43 31 44 36 39 12 49 79 26 32 21 21 43 66 21 42 27 44
25 45 34 17 17 50 4 24 52 35 60 14 17 6 51 30 54 8 43 49 24
26 29 43 58 25 46 22 29 61 31 38 36 33 12 31 14 14 77 5 50 40
40 16 28 12 12 25 38 18 19 43 17 36 33 36 63 54 31 41 38 52 41
36 15 14 27 45 39 24 53 56 25 24 41 19 19 30 48 26 25 69 50 39
28 28 60 10 41 37 38 18 40 58 20 24 41 31 21 66 44 64 16 38 37
37 21 39 49 21 34 60 22 13 19 8 38 35 56 13 38 47 39 40 41 15
43 24 18 25 42 27 50 35 34 77 43 39 48 53 34 56 22 40 59 44 41
39 36 27 40 47 22 6 42 59 34 84 12 51 53 59 45 43 39 37 15 44
65 22 45 11 26 44 26 43 62 26 37 18 9 46 20 19 33 44 42 11 17
10 29 22 28 22 46 14 26 24 36 25 42 35 30 52 39 74 18 10 47 15
31 56 27 88 43 38 32 21 11 36 23 43 30 55 28 32 14 39 50 38 45
44 20 46 15 20 29 13 31 31 7 44 17 48 27 6 40 14 30 56 49 29
54 48 24 32 12 40 22 45 48 32 33 29 37 32 37 34 32 19 28 63 43
27 9 12 34 38 13 42 65 41 20 35 35 32 29 23 68 64 50 48 58 60
27 21 19 42 28 42 15 40 33 29 26 20 91 47 48 70 57 33 43 36 49
48 51 18 37 21 15 10 24 54 65 28 60 32 26 64 36 11 38 15 14 25
43 43 39 76 10 55 54 26 28 79 54 36 17 42 31 50 50 9 67 16 38
20 37 50 44 61 55 46 41 63 40 33 14 68 9 18 25 16 34 21 39 45
27 41 34 12 44 70 30 24 10 47 45 39 35 35 26 39 29 24 44 38 29
19 32 21 29 36 23 24 11 42 16 27 15 68 54 29 33 61 47 45 55 74
25 16 37 68 50 12 16 44 43 20 28 67 19 23 28 23 44 67 37 65 28
53 29 18 32 49 69 79 21 42 15 54 16 41 52 35 24 87 41 51 39 23
45 36 23 27 36 33 9 24 23 63 51 31 41 52 43 39 4 21 40 33 23
49 34 32 45 10 26 44 54 11 19 44 51 57 35 58 50 46 15 44 65 41
60 42 53 10 36 52 21 14 62 31 58 60 10 35 27 21 55 14 10 22 52
37 21 27 77 23 27 83 34 37 34 19 36 46 41 11 36 44 49 42 60 25
32 54 43 37 45 30 59 31 28 75 67 64 46 23 25 37 46 46 32 14 39
31 45 35 52 10 50 54 21 59 37 21 7 26 27 24 14 25 39 40 44 33
65 30 47 43 56 31 37 28 20 38 6 39 32 26 59 51 34 48 13 53 45
31 39 37 39 15 43 24 32 19 40 44 8 39 48 50 44 46 49 61 19 36
51 34 20 19 63 14 45 30 14 36 52 79 43 61 29 72 33 13 73 38 56
23 35 7 21 16 68 46 37 12 42 17 75 48 38 30 5 25 39 72 36 80
18 42 49 19 26 20 20 50 30 45 25 31 13 45 16 65 15 26 29 34 46
36 17 50 18 32 18 54 45 42 32 43 50 69 32 43 38 6 51 40 25 22
38 29 21 33 75 34 49 33 34 34 43 25 66 18 40 23 35 32 21 25 48
12 28 11 26 47 15 52 24 13 63 44 12 46 40 50 28 33 58 44 58 30
